"IDE","DESIGNATION","SUPERFICIE","IDERATTACH"
1,"APPARTEMENT T2",39,
2,"TERRASSE",9,1
3,"GARAGE",12,1
4,"CHAMBRE",12,1
5,"CUISINE",10,1
6,"SALLE DE BAIN",9,1
7,"APPARTEMENT T2",46,
8,"TERRASSE",12,7
9,"TERRASSE",4,7
10,"GARAGE",13,7
11,"CHAMBRE",18,7
12,"SALLE DE BAIN",7,7
13,"CUISINE",5,7
14,"APPARTEMENT T4",96,
15,"TERRASSE",26,14
16,"SEJOUR",26,14
17,"CUISINE",7,14
18,"SALLE DE BAIN",6,14
19,"CHAMBRE",15,14
20,"CHAMBRE",15,14
21,"CHAMBRE",15,14
22,"LOGGIA",11,14
23,"GARAGE",14,14
24,"CAVE",22,14
25,"MAISON T4",117,
26,"TERRAIN",450,25
27,"REZ-DE-CHAUSSEE",95,25
28,"GARAGE",95,27
29,"PREMIER ETAGE",85,25
30,"SEJOUR",56,29
31,"TERRASSE",29,29
32,"DEUXIEME ETAGE",55,25
33,"CHAMBRE",14,32
34,"CHAMBRE",11,32
35,"CHAMBRE",18,32
36,"SALLE EAU",10,32
37,"WC",2,32
38,"VILLA T6",188,
39,"TERRAIN",1525,38
40,"REZ-DE-CHAUSSEE",194,38
41,"SEJOUR",50,40
42,"CUISINE",14,40
43,"TERRASSE",20,40
44,"CHAMBRE",19,40
45,"CHAMBRE",19,40
46,"SALLE DE BAIN",9,40
47,"SALLE DE BAIN",9,40
48,"CELLIER",10,40
49,"GARAGE",44,40
50,"PREMIER ETAGE",35,38
51,"CHAMBRE",18,50
52,"CHAMBRE",17,50
53,"MAISON T3",118,
54,"TERRAIN",542,53
55,"REZ-DE-CHAUSSEE",99,53
56,"SEJOUR",45,55
57,"CUISINE",15,55
58,"VERANDA",17,55
59,"CHAMBRE",22,55
60,"PREMIER ETAGE",40,53
61,"CHAMBRE",17,60
62,"BUREAU",10,60
63,"SALLE DE BAIN",6,60
64,"SOLARIUM",6,60
65,"MAISON T4",94,
66,"SEJOUR",39,65
67,"TERRASSE",17,65
68,"CHAMBRE",13,65
69,"CHAMBRE",13,65
70,"CHAMBRE",13,65
71,"SALLE DE BAIN",6,65
72,"WC",2,65
73,"GARAGE",12,65
74,"CELLIER",8,65
75,"MAISON T4",85,
76,"TERRAIN",200,75
77,"REZ-DE-CHAUSSEE",85,75
78,"WC",2,77
79,"SALLE EAU",6,77
80,"GARAGE",10,77
81,"CHAMBRE",15,77
82,"SEJOUR",32,77
83,"CUISINE",7,77
84,"TERRASSE",13,77
85,"PREMIER ETAGE",36,75
86,"CHAMBRE",17,85
87,"CHAMBRE",17,85
88,"WC",2,85
89,"CAVE",37,75
90,"MAISON T7",170,
91,"TERRAIN",670,90
92,"REZ-DE-CHAUSSEE",132,90
93,"SEJOUR",48,92
94,"CUISINE",20,92
95,"CHAMBRE",25,92
96,"SALLE DE BAIN",12,92
97,"TERRASSE",27,92
98,"PREMIER ETAGE",93,90
99,"CHAMBRE",20,98
100,"CHAMBRE",18,98
101,"CHAMBRE",17,98
102,"SALLE DE BAIN",9,98
103,"WC",3,98
104,"SALLE DE JEU",16,98
105,"BALCON",10,98
106,"MAISON T5",101,
107,"TERRAIN",352,106
108,"REZ-DE-CHAUSSEE",89,106
109,"SEJOUR",30,108
110,"CUISINE",13,108
111,"CHAMBRE",15,108
112,"CHAMBRE",15,108
113,"CHAMBRE",16,108
114,"PREMIER ETAGE",27,106
115,"CHAMBRE",21,114
116,"SALLE EAU",6,114
117,"SOUS-SOL",38,106
118,"BUANDERIE",8,117
119,"CAVE",13,117
120,"GARAGE",17,117
